"""Remember Me"" Default Value","Valor Pré-definido de ""Me Lembre"""
"(Not %s?)","(Não %s?)"
"* Required Fields","* Campos Obrigatórios"
"Address","Endereços"
"Address Information","Informações de Endereço"
"Already registered?","Já é registrado?"
"Back","Voltar"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de finalizar sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais"
"Cannot load configuration from file %s.","Não é possível carregar configuração do arquivo %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Verificando &quot;Lembre-se de mim&quot; permitirá que você acesse seu carrinho de compras neste computador quando você estiver desconectado"
"Checkout as Guest","Finalizar compra como visitante"
"Checkout as a Guest","Finalizar como Convidado"
"Checkout as a Guest or Register","Finalizar compra como visitante ou registre-se"
"City","Cidade"
"Clear Persistence on Log Out","Limpar Persistência ao Sair"
"Close","Fechar"
"Company","Empresa"
"Confirm Password","Confirmar Senha"
"Continue","Próximo"
"Country","País"
"Create an Account","Criar Conta"
"Easy access to your order history and status","Acesso fácil ao seu histórico de pedidos e status"
"Email Address","Endereço de e-mail"
"Enable ""Remember Me""","Ativar ""Ligação Automática"""
"Enable Persistence","Habilitar Persistência"
"Fast and easy check out","Finalização de compra rápida e fácil"
"Faster checkout","Checkout mais rápido"
"Fax","Celular"
"Forgot Your Password?","Esqueceu a sua senha?"
"Forgot your password?","Esqueceu a sua senha?"
"General Options","Opções Gerais"
"If you have an account with us, please log in.","Se você tem uma conta conosco, por favor entre."
"Loading next step...","Carregando próximo passo..."
"Login","Entrar"
"Login Information","Informações de entrada"
"Login or Create an Account","Entrar ou criar uma conta"
"New Customers","Novos Clientes"
"New Here?","Novo aqui?"
"Password","Senha"
"Persist Shopping Cart","Persistir Carrinho de Compras"
"Persistence Lifetime (seconds)","Tempo de Persistência (segundos)"
"Persistent Shopping Cart","Carrinho de Compras Persistente"
"Personal Information","Informações Pessoais"
"Please enter the following information to create your account.","Por favor, insira as seguintes informações para criar sua conta."
"Please log in below:","Por favor, entre abaixo:"
"Please select region, state or province","Por favor selecione região, estado ou província"
"Register","Registrar"
"Register and Checkout","Registrar e Finalizar Compra"
"Register and save time!","Cadastre-se e ganhe tempo!"
"Register to Create an Account","Registrar-se"
"Register with us for future convenience:","Registre-se para futura conveniência:"
"Registered Customers","Clientes Registrados"
"Registration is free and easy!","Cadastro é gratuito e fácil!"
"Remember Me","Permanecer logado"
"Returning Customers","Clientes Retornados"
"Save in address book","Salvar no catálogo de endereços"
"Save multiple shipping addresses","Salvar múltiplos endereços de envio"
"Select State/Province...","Selecionar estado..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança da sua lista de endereços ou cadastre um novo."
"Ship to different address","Enviar para endereços diferentes"
"Ship to this address","Enviar para este endereço"
"Shopping cart has been updated with appropriate prices","Carrinho de compras foi atualizado com preços apropriados"
"Sign Up for Newsletter","Assinar Newsletter"
"Sign in to speed up your checkout process","Faça login para agilizar seu processo de checkout"
"State/Province","Estado"
"Street Address","Endereço"
"Street Address %s","Endereço de Rua %s"
"Submit","Enviar"
"Telephone","Telefone"
"To proceed to Checkout, please log in using your email address.","Para prosseguir para o Checkout, por favor, faça login usando seu endereço de email."
"VAT Number","CPF/CNPJ"
"View and track orders and more","Visualizar e rastrear pedidos e mais"
"Welcome, %s!","Bem-vindo, %s!"
"What's this?","O que é isto?"
"What's this?","O que é isto?"
"Zip/Postal Code","CEP"
